#Eerste rij zijn de namen van de handelsgoederen
#Eerste kolom zijn de namen van de steden
#Achter iedere stad staat voor iedere handelsgoed twee getallen gescheiden door een - (bijvoorbeeld 26-512 voor laken in Belize) 
#  het eerste getal is het minimum aantal ton dat er op een moment voor dat handelsgoed beschikbaar kan zijn in die stad
#  het tweede getal is het maximum aantal ton dat er op een moment voor dat handelsgoed beschikbaar kan zijn in die stad
#  in andere woorden: als een speler Belize invaart dan ligt daar tussen de 26 en 512 ton aan laken
;bakstenen;laken;cacao;katoen;verfstof;vis;hennep;aardappels;rum;zout;suiker;tabak;graan;vlees;hout;
Roatan;0-42;0-41;11-107;16-324;17-338;0-32;0-43;0-47;0-32;0-47;21-424;0-35;0-40;0-40;23-460;
Belize;27-534;26-512;25-502;0-52;13-132;16-163;34-670;0-67;36-710;31-622;0-64;17-170;0-65;35-702;0-64;
Cayman;0-33;0-42;0-35;0-46;0-45;20-394;0-41;19-372;0-48;0-45;11-107;20-396;22-442;10-104;0-42;
Evangelista;25-498;0-64;0-58;33-658;15-146;0-60;0-72;0-66;0-65;0-62;0-71;33-660;13-131;35-692;0-69;
Trinidad;0-42;19-372;20-408;9-90;0-41;11-114;0-34;22-440;18-354;18-360;0-39;9-90;19-372;0-44;20-398;
Port Royale;44-884;0-111;60-1200;0-95;21-207;0-105;0-104;50-1010;48-966;0-117;28-278;0-119;30-298;43-862;56-1130;
Santiago;0-35;23-462;0-38;0-45;19-378;0-33;0-45;12-116;0-41;0-33;21-424;9-92;16-326;0-40;0-40;
Port-au-prince;22-450;24-480;22-450;0-42;9-90;8-81;18-368;0-33;21-426;22-436;0-41;12-116;0-38;16-322;0-37;
Santo Domingo;26-514;0-59;0-62;12-125;0-66;0-61;28-556;15-146;15-148;34-688;0-51;30-600;17-172;30-608;31-614;
Saint Kitts;16-161;0-55;18-176;18-176;0-56;28-556;0-53;29-572;0-64;34-680;0-71;25-504;28-554;28-550;36-712;
Santa Lucia;0-46;20-404;17-346;18-354;10-98;0-46;10-100;0-38;0-41;0-45;0-37;0-43;23-452;0-37;0-45;
Grenada;0-42;0-46;0-35;19-374;0-39;0-42;0-42;0-45;0-36;0-35;17-340;10-95;17-338;21-420;11-108;
Port of Spain;0-78;44-888;0-69;46-926;0-73;0-77;20-196;0-88;0-72;0-72;40-808;0-81;0-75;44-876;38-768;
Puerto Santo;0-41;0-44;11-106;0-39;18-364;19-384;0-39;18-358;9-90;0-35;0-35;22-436;0-43;0-46;0-34;
Margarita;25-502;14-136;32-642;0-48;15-154;14-144;29-586;0-65;24-486;32-632;0-70;0-48;32-638;0-71;16-158;
Caracas;24-474;20-402;8-84;0-41;17-340;20-398;0-47;9-89;0-34;23-468;0-46;11-112;17-346;0-40;0-39;
Puerto Cabello;9-92;0-39;18-352;0-37;0-44;0-37;0-47;19-388;19-382;0-42;8-80;20-398;0-41;0-37;0-43;
Curacao;0-78;24-238;20-200;45-902;0-67;0-77;38-752;0-69;0-71;0-87;42-838;0-80;0-78;0-74;40-808;
Coro;0-32;16-328;24-474;0-35;0-38;0-36;0-46;0-34;0-40;0-46;9-88;20-396;22-430;21-420;0-36;
Gibraltar;33-658;0-56;0-56;15-151;14-143;26-516;0-64;31-614;0-65;33-656;34-674;0-67;15-151;35-708;32-650;
Maracaibo;0-34;0-41;0-45;18-358;19-382;8-81;17-334;0-41;21-418;0-37;0-45;10-103;0-36;0-35;0-44;
Santa Marta;0-45;0-36;0-34;0-33;0-36;0-42;0-46;0-37;22-438;20-394;16-326;20-406;19-384;0-33;11-106;
Cartagena;26-516;31-622;0-49;34-678;17-172;0-49;14-136;32-646;14-138;15-148;0-48;0-51;0-62;27-536;26-526;
Providence;0-82;0-72;43-854;23-234;39-774;43-864;45-908;0-93;0-94;0-75;0-93;0-96;0-72;17-167;0-70;
