#Eerste rij zijn de namen van de handelsgoederen
#Eerste kolom zijn de namen van de steden
#Achter iedere stad staat voor iedere handelsgoed twee getallen gescheiden door een - (bijvoorbeeld 100-250 voor laken in Belize) 
#  het eerste getal is de minimum prijs dat er op een moment voor dat handelsgoed gevraagd kan worden in die stad
#  het tweede getal is de maximum prijs dat er op een moment voor dat handelsgoed gevraagd kan worden in die stad
#  in andere woorden: als een speler Belize invaart dan ligt de prijs voor laken tussen de 100 en 250 goudstukken
;bakstenen;laken;cacao;katoen;verfstof;vis;hennep;aardappels;rum;zout;suiker;tabak;graan;vlees;hout
Roatan;57-114;250-500;125-375;34-85;68-170;40-80;85-170;100-200;450-900;30-60;34-85;170-340;57-114;500-1000;23-57
Belize;23-57;100-250;100-250;85-170;85-255;20-60;34-85;100-200;180-450;12-30;85-170;85-255;57-114;200-500;57-114
Cayman;57-114;250-500;250-500;85-170;170-340;16-40;85-170;40-100;450-900;30-60;42-128;68-170;23-57;250-750;57-114
Evangelista;23-57;250-500;250-500;34-85;85-255;40-80;85-170;100-200;450-900;30-60;85-170;68-170;28-86;200-500;57-114
Trinidad;57-114;100-250;100-250;42-128;170-340;20-60;85-170;40-100;180-450;12-30;85-170;85-255;23-57;500-1000;23-57
Port Royale;23-57;250-500;100-250;85-170;85-255;40-80;85-170;40-100;180-450;30-60;42-128;170-340;28-86;200-500;23-57
Santiago;57-114;100-250;250-500;85-170;68-170;40-80;85-170;50-150;450-900;30-60;34-85;85-255;23-57;500-1000;57-114
Port-au-prince;23-57;100-250;100-250;85-170;85-255;20-60;34-85;100-200;180-450;12-30;85-170;85-255;57-114;200-500;57-114
Santo Domingo;23-57;250-500;250-500;42-128;170-340;40-80;34-85;50-150;225-675;12-30;85-170;68-170;28-86;200-500;23-57
Saint Kitts;28-86;250-500;125-375;42-128;170-340;16-40;85-170;40-100;450-900;12-30;85-170;68-170;23-57;200-500;23-57
Santa Lucia;57-114;100-250;100-250;34-85;85-255;40-80;42-128;100-200;450-900;30-60;85-170;170-340;23-57;500-1000;57-114
Grenada;57-114;250-500;250-500;34-85;170-340;40-80;85-170;100-200;450-900;30-60;34-85;85-255;23-57;200-500;28-86
Port of Spain;57-114;100-250;250-500;34-85;170-340;40-80;42-128;100-200;450-900;30-60;34-85;170-340;57-114;200-500;23-57
Puerto Santo;57-114;250-500;125-375;85-170;68-170;16-40;85-170;40-100;225-675;30-60;85-170;68-170;57-114;500-1000;57-114
Margarita;23-57;125-375;100-250;85-170;85-255;20-60;34-85;100-200;180-450;12-30;85-170;170-340;23-57;500-1000;28-86
Caracas;23-57;100-250;125-375;85-170;68-170;16-40;85-170;50-150;450-900;12-30;85-170;85-255;23-57;500-1000;57-114
Puerto Cabello;28-86;250-500;100-250;85-170;170-340;40-80;85-170;40-100;180-450;30-60;42-128;68-170;57-114;500-1000;57-114
Curacao;57-114;125-375;125-375;34-85;170-340;40-80;34-85;100-200;450-900;30-60;34-85;170-340;57-114;500-1000;23-57
Coro;57-114;100-250;100-250;85-170;170-340;40-80;85-170;100-200;450-900;30-60;42-128;68-170;23-57;200-500;57-114
Gibraltar;23-57;250-500;250-500;42-128;85-255;16-40;85-170;40-100;450-900;12-30;34-85;170-340;28-86;200-500;23-57
Maracaibo;57-114;250-500;250-500;34-85;68-170;20-60;34-85;100-200;180-450;30-60;85-170;85-255;57-114;500-1000;57-114
Santa Marta;57-114;250-500;250-500;85-170;170-340;40-80;85-170;100-200;180-450;12-30;34-85;68-170;23-57;500-1000;28-86
Cartagena;23-57;100-250;250-500;34-85;85-255;40-80;42-128;40-100;225-675;15-45;85-170;170-340;57-114;200-500;23-57
Providence;57-114;250-500;100-250;42-128;68-170;16-40;34-85;100-200;450-900;30-60;85-170;170-340;57-114;250-750;57-114
